REGION_ID,CRASH_RATIO
1,140
2,26
3,224
4,463
5,114
6,274
7,640
8,721
9,60
10,154
11,725
12,549
13,803
14,82
15,165
16,101
17,3
18,28
19,36
20,41
21,24
22,3
23,35
24,22
25,3
26,21
27,9
28,3
29,58
