REGION_ID,CRASH_RATIO
1,200
2,128
3,296
4,200
5,222
6,267
7,294
8,492
9,75
10,256
11,341
12,476
13,327
14,120
15,168
16,96
17,73
18,253
19,150
20,104
21,170
22,49
23,89
24,77
25,69
26,47
27,21
28,12
29,146
