REGION_ID,CRASH_RATIO
1,156
2,50
3,349
4,519
5,165
6,399
7,855
8,962
9,87
10,243
11,1050
12,610
13,805
14,129
15,294
16,169
17,5
18,47
19,68
20,74
21,38
22,6
23,59
24,38
25,6
26,42
27,18
28,3
29,58
