REGION_ID,CRASH_RATIO
1,204
2,157
3,295
4,203
5,222
6,267
7,293
8,485
9,82
10,255
11,340
12,472
13,325
14,121
15,168
16,98
17,74
18,245
19,149
20,105
21,134
22,51
23,89
24,77
25,67
26,47
27,22
28,15
29,147
