REGION_ID,CRASH_RATIO
1,199
2,127
3,296
4,200
5,222
6,267
7,294
8,492
9,75
10,254
11,340
12,476
13,326
14,120
15,167
16,96
17,72
18,252
19,148
20,104
21,169
22,48
23,88
24,77
25,69
26,47
27,21
28,12
29,146
