REGION_ID,CRASH_RATIO
1,171
2,57
3,349
4,518
5,165
6,399
7,853
8,959
9,88
10,243
11,1047
12,610
13,803
14,129
15,294
16,169
17,6
18,47
19,68
20,74
21,39
22,7
23,57
24,38
25,7
26,41
27,18
28,4
29,59
