REGION_ID,CRASH_RATIO
1,522
2,186
3,576
4,606
5,351
6,578
7,942
8,1243
9,148
10,432
11,1106
12,968
13,841
14,229
15,417
16,213
17,81
18,295
19,200
20,149
21,197
22,57
23,135
24,108
25,74
26,78
27,39
28,22
29,193
