REGION_ID,CRASH_RATIO
1,180
2,67
3,190
4,180
5,153
6,184
7,220
8,369
9,51
10,164
11,236
12,428
13,327
14,77
15,94
16,57
17,43
18,151
19,79
20,58
21,109
22,24
23,53
24,46
25,41
26,23
27,11
28,12
29,146
