REGION_ID,CRASH_RATIO
1,179
2,67
3,190
4,180
5,153
6,184
7,220
8,369
9,51
10,163
11,235
12,428
13,326
14,77
15,93
16,57
17,43
18,151
19,78
20,58
21,108
22,24
23,52
24,46
25,41
26,23
27,11
28,12
29,146
