REGION_ID,CRASH_RATIO
1,524
2,186
3,575
4,604
5,351
6,577
7,941
8,1243
9,148
10,427
11,1103
12,968
13,839
14,228
15,415
16,212
17,79
18,294
19,199
20,149
21,196
22,56
23,134
24,108
25,74
26,78
27,39
28,22
29,193
