REGION_ID,CRASH_RATIO
1,203
2,156
3,295
4,203
5,222
6,267
7,293
8,485
9,82
10,253
11,339
12,472
13,324
14,121
15,167
16,98
17,73
18,244
19,147
20,105
21,134
22,50
23,88
24,77
25,67
26,47
27,22
28,15
29,147
