REGION_ID,CRASH_RATIO
1,297
2,91
3,370
4,544
5,243
6,400
7,708
8,936
9,101
10,277
11,767
12,872
13,843
14,147
15,234
16,127
17,47
18,178
19,105
20,83
21,129
22,27
23,81
24,64
25,45
26,39
27,20
28,14
29,192
