REGION_ID,NUMPOINTS
1,398
2,319
3,946
4,698
5,678
6,855
7,1279
8,1838
9,180
10,670
11,1600
12,1015
13,885
14,354
15,619
16,268
17,101
18,567
19,333
20,206
21,271
22,80
23,211
24,172
25,113
26,159
27,67
28,28
29,192
