REGION_ID,NUMPOINTS
1,1
2,1
3,2
4,2
5,0
6,2
7,1
8,0
9,0
10,7
11,4
12,0
13,2
14,1
15,2
16,1
17,2
18,2
19,2
20,0
21,2
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,0
