REGION_ID,NUMPOINTS
1,189
2,93
3,574
4,596
5,319
6,589
7,1158
8,1417
9,107
10,378
11,1516
12,639
13,845
14,199
15,438
16,213
17,7
18,91
19,114
20,104
21,52
22,10
23,92
24,62
25,9
26,84
27,30
28,6
29,58
