REGION_ID,NUMPOINTS
1,241
2,235
3,487
4,232
5,429
6,396
7,399
8,725
9,93
10,399
11,492
12,499
13,343
14,187
15,250
16,121
17,94
18,483
19,249
20,145
21,228
22,71
23,138
24,123
25,104
26,95
27,38
28,23
29,146
