REGION_ID,NUMPOINTS
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,3
11,2
12,0
13,1
14,0
15,1
16,1
17,2
18,2
19,2
20,0
21,2
22,1
23,1
24,1
25,0
26,0
27,0
28,0
29,0
