REGION_ID,NUMPOINTS
1,189
2,93
3,575
4,600
5,319
6,591
7,1159
8,1417
9,107
10,382
11,1519
12,639
13,847
14,200
15,439
16,213
17,7
18,91
19,114
20,104
21,52
22,10
23,92
24,62
25,9
26,84
27,32
28,6
29,58
