REGION_ID,NUMPOINTS
1,242
2,236
3,488
4,232
5,429
6,396
7,399
8,725
9,93
10,402
11,494
12,499
13,344
14,187
15,251
16,122
17,96
18,485
19,251
20,145
21,230
22,72
23,139
24,124
25,104
26,95
27,38
28,23
29,146
